SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.132,0.414,0.404,29.590,26.630,1.381,27.870,1.319
apache1,0.281,0.753,0.710,37.480,48.347,7.217,42.420,2.850
busybox,0.383,0.807,0.904,73.437,111.116,19.851,79.758,4.692
linux,2.377,3.561,3.741,113588.749,-,49277.346,-,11.885
vim1,0.742,0.909,1.512,920.740,-,43617.320,-,5.890
apache2,0.486,0.837,0.628,36.172,-,-,-,3.070
gnuplot,1.498,1.814,1.464,2765.110,-,-,-,7.743
bash1,1.850,1.603,1.767,552.322,-,-,-,10.053
vim2,1.790,2.003,0.747,56.569,-,-,-,9.510
vim3,6.942,8.227,3.996,27689.858,-,-,-,39.190
bash2,5.056,3.740,0.898,68.381,-,-,-,20.815
xterm,14.485,15.451,9.797,-,-,-,-,61.101
