SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.489,0.251,0.249,-,-,0.0,0.0,0.0
apache1,0.2505,0.698,0.6935,-,-,0.0,0.0,0.0
busybox,0.00967,0.12,0.133,-,-,0.0,0.0,0.0
linux,0.2602,0.75848,0.76052,-,-,0.0,-,0.0
vim1,0.06375,0.93875,0.9345,-,-,0.0,-,0.0
apache2,0.507,0.484,0.477,-,-,-,-,0.0
gnuplot,0.1235,0.879,0.879,-,-,-,-,0.0
bash1,0.379,0.755,0.753,-,-,-,-,0.0
vim2,0.473,0.524,0.504,-,-,-,-,0.0
vim3,0.4118,0.7078,0.707,-,-,-,-,0.0
bash2,0.507,0.502,0.522,-,-,-,-,0.0
xterm,0.3934,0.6584,0.6782,-,-,-,-,0.0
