SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,3.0,7.0,7.0,5.0,6.0,5.0,3.0,5.0
apache1,8.0,9.0,8.0,12.0,128.0,20.0,21.5,10.5
busybox,10.0,11.33333,17.33333,8.66667,341.33333,15.66667,21.66667,12.0
linux,16.625,18.35,14.975,84.675,-,77.25,-,6.125
vim1,21.0,23.0,19.0,27.0,-,72.0,-,11.75
apache2,30.0,32.0,10.0,30.0,-,-,-,8.0
gnuplot,42.0,44.0,22.0,51.5,-,-,-,18.5
bash1,47.0,48.5,18.5,61.0,-,-,-,22.0
vim2,63.0,65.0,14.0,63.0,-,-,-,14.0
vim3,123.0,148.6,26.2,358.2,-,-,-,12.8
bash2,142.0,144.0,17.0,142.0,-,-,-,16.0
xterm,207.6,208.8,23.8,-,-,-,-,24.2
