SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.125,0.339,0.387,29.12,131.967,1.607,27.635,1.357
apache1,0.317,0.571,0.727,36.984,54.289,7.823,41.247,3.093
busybox,0.474,0.665,0.854,77.013,119.153,19.652,82.184,5.15
linux,2.287,3.348,4.142,107182.599,-,52582.651,-,14.19
vim1,0.98,1.18,1.771,857.263,-,47969.86,-,6.698
apache2,0.662,0.832,0.792,35.691,-,-,-,3.549
gnuplot,1.371,1.744,1.647,2648.832,-,-,-,8.968
bash1,1.826,2.285,1.504,489.38,-,-,-,10.005
vim2,1.446,1.813,0.803,48.112,-,-,-,9.616
vim3,6.752,8.743,5.206,27039.387,-,-,-,37.002
bash2,4.405,5.77,1.377,67.71,-,-,-,19.368
xterm,14.277,15.405,8.453,-,-,-,-,60.997
