parameter,name
0,RLIMIT_DATA
1,ECONNRESET
2,ENETDOWN
3,HAVE_STRINGS_H
4,HAVE_GRP_H
5,HAVE_SYS_PRCTL_H
6,ENETUNREACH
7,ENOBUFS
8,ETIMEDOUT
9,EPROTO
10,APR_HAVE_GETRLIMIT
11,RLIMIT_VMEM
12,_OSD_POSIX
13,ECONNABORTED
14,EAGAIN
15,APR_HAS_FLOCK_SERIALIZE
16,HAVE_UNISTD_H
17,EWOULDBLOCK
18,APR_PROC_MUTEX_IS_GLOBAL
19,HAVE_SYS_SEM_H
20,RLIMIT_CPU
21,RLIMIT_NPROC
22,RLIMIT_AS
23,HAVE_SYS_RESOURCE_H
24,HAVE_PWD_H
25,APR_HAVE_UNION_SEMUN
26,APR_HAVE_STRUCT_RLIMIT
27,EHOSTUNREACH
28,HPUX11
29,APR_HAS_SYSVSEM_SERIALIZE
