parameter,name
0,DEFAULT_SERVER_LIMIT
1,AP_SIG_GRACEFUL
2,TPF
3,APR_HAVE_SYS_TYPES_H
4,SINGLE_LISTEN_UNSERIALIZED_ACCEPT
5,AP_MPM_WANT_SET_ACCEPT_LOCK_MECH
6,HAVE_BINDPROCESSOR
7,APR_HAS_OTHER_CHILD
8,SIGPIPE
9,MULTITHREAD
10,HAVE_TIME_H
11,SIGQUIT
12,APR_USE_SYSVSEM_SERIALIZE
13,HAVE_SYS_PROCESSOR_H
14,_OSD_POSIX
15,SIGXFSZ
16,SIGINT
17,MAX_SERVER_LIMIT
18,HAVE_BSTRING_H
19,AP_MPM_WANT_SET_MAX_MEM_FREE
20,AUX3
21,NO_USE_SIGACTION
22,APR_HAVE_UNISTD_H
23,NEED_WAITPID
24,HARD_THREAD_LIMIT
25,GPROF
26,MAX_SPAWN_RATE
27,SIGXCPU
28,SIGHUP
