parameter,name
0,errno
1,ARRAY_VARS
2,HAVE_SYS_TIMES_H
3,HAVE_GETTIMEOFDAY
4,_AIX
5,DEBUGGER
6,COPROCESS_SUPPORT
7,INCLUDE_UNUSED
8,HANDLE_MULTIBYTE
9,HAVE_SYS_FILE_H
10,C_ALLOCA
11,MSDOS
12,HAVE_ALLOCA_H
13,COMMAND_TIMING
14,HAVE_DEV_FD
15,ALIAS
16,BUFFERED_INPUT
17,_MINIX
18,HAVE_STRUCT_TIMEZONE
19,JOB_CONTROL
20,NOTFOUND_HOOK
21,HISTORY
22,RECYCLES_PIDS
23,HAVE_UNISTD_H
24,DEBUG
25,DPAREN_ARITHMETIC
26,ARITH_FOR_COMMAND
27,mips
28,_POSIX_SOURCE
29,HAVE_TIMES
30,SELECT_COMMAND
31,ultrix
32,EISDIR
33,__BEOS__
34,__CYGWIN__
35,HAVE_SYS_RESOURCE_H
36,HAVE_GETRUSAGE
37,COND_COMMAND
38,RESTRICTED_SHELL
39,ARG_MAX
40,KSH_COMPATIBLE_SELECT
41,PROCESS_SUBSTITUTION
42,COND_REGEXP
43,HAVE_HASH_BANG_EXEC
44,RLIMTYPE
45,__GNUC__
46,HAVE_SETOSTYPE
