parameter,name
0,_CX_UX
1,__convex__
2,pyr
3,__bsdi__
4,__SVR4_2__
5,u3b
6,hppa
7,RISC6000
8,clipper
9,USGr4
10,__hp9000s800
11,gcx
12,hp9000s700
13,Tek4300
14,__hpux
15,__PGC__
16,USGr4_2
17,__alpha
18,MULTIMAX
19,__UMAXV__
20,mc68020
21,sun4
22,unix
23,__BSD_4_4__
24,n16
25,hpux
26,RT
27,ultrix
28,os
29,__PARAGON__
30,SYSTYPE_SYSV
31,alpha
32,DGUX
33,__uxpm__
34,__GNUC__
35,UMAXV
36,concurrent
37,osf
38,_AIX
39,__svr4__
40,mc68k32
41,__convexc__
42,M_UNIX
43,_PGC_
44,ns32000
45,stardent
46,u3b20d
47,_COFF
48,aixpc
49,__386BSD__
50,_U370
51,vax
52,sun2
53,mc68040
54,is68k
55,CMU
56,MIPSEB
57,__hp9000s200
58,__ksr1__
59,hp9000s300
60,tower32
61,Tek4132
62,bsd4_3
63,plexus
64,tss
65,NeXT
66,u370
67,_IBMR2
68,__ibmesa
69,linux
70,sony
71,u3b5
72,gcos
73,mc68030
74,MIPSEL
75,_M88KBCS_TARGET
76,sequent
77,hp9000
78,_M88K
79,ardent
80,sparc
81,gould
82,_M_XENIX
83,cadmus
84,__DGUX__
85,scs
86,hp9000s200
87,__i386__
88,hp9000s800
89,mips
90,__hp_osf
91,alliant
92,__uxps__
93,Sun386i
94,interdata
95,hcx
96,luna88k
97,__osf__
98,bsdi
99,att386
100,sun3
101,u3b2
102,m68k
103,Xenix286
104,__i860
105,__linux__
106,__OSF1__
107,hbullx20
108,__hp9000s500
109,__nonstopux
110,MACH
111,sgi
112,__m88k
113,sun
114,_NLS
115,ibm032
116,m88k
117,bsd4_2
118,aix
119,SYSTYPE_BSD
120,__i860__
121,__hppa
122,GOULD_PN
123,_IBMESA
124,hp9000s500
125,dmert
126,__hp9000s300
127,pdp11
128,__hp9000
129,M_XENIX
130,ibm
131,apollo
132,host_mips
133,ksr1
134,__hp9000s700
135,convex
136,i386
137,RES
138,mc68010
139,_AIX370
140,ibmrt
141,att3b
