parameter,name
0,_ALLOCA_H
1,__GLIBC__
2,__cplusplus
3,YYPRINT
4,_AIX
5,YYFREE
6,YY_LOCATION_PRINT
7,YYTYPE_INT8
8,YYTYPE_UINT8
9,YYFPRINTF
10,YYERROR_VERBOSE
11,YYSTACK_RELOCATE
12,b4_c_modern
13,YYSIZE_T
14,_MSC_VER
15,YYTYPE_INT16
16,free
17,YYSTYPE_IS_TRIVIAL
18,YYSTACK_USE_ALLOCA
19,YYLLOC_DEFAULT
20,lint
21,_STDLIB_H
22,YYTOKEN_TABLE
23,malloc
24,b4_locations_if
25,yystpcpy
26,_GNU_SOURCE
27,YY_
28,YYLEX_PARAM
29,YYSTACK_ALLOC_MAXIMUM
30,yytnamerr
31,YYSTYPE
32,_STRING_H
33,YYCOPY
34,yystrlen
35,size_t
36,YYENABLE_NLS
37,YYMAXDEPTH
38,yyoverflow
39,ENABLE_NLS
40,YYLTYPE_IS_TRIVIAL
41,YYPARSE_PARAM
42,YYINITDEPTH
43,__BUILTIN_VA_ARG_INCR
44,YYDEBUG
45,YYSTYPE_IS_DECLARED
46,YYTYPE_UINT16
47,__GNUC__
48,__SIZE_TYPE__
49,YYMALLOC
