parameter,name
0,ENABLE_FEATURE_HTTPD_PROXY
1,ENABLE_FEATURE_HTTPD_SETUID
2,DEBUG
3,ENABLE_FEATURE_HTTPD_CGI
4,ENABLE_FEATURE_HTTPD_ENCODE_URL_STR
5,IOBUF_SIZE
6,ENABLE_FEATURE_HTTPD_BASIC_AUTH
7,ENABLE_FEATURE_HTTPD_AUTH_MD5
8,ENABLE_FEATURE_HTTPD_GZIP
9,ENABLE_FEATURE_IPV6
10,ENABLE_FEATURE_HTTPD_CONFIG_WITH_SCRIPT_INTERPR
11,ENABLE_FEATURE_HTTPD_USE_SENDFILE
12,ENABLE_FEATURE_HTTPD_RANGES
13,ENABLE_FEATURE_HTTPD_SET_REMOTE_PORT_TO_ENV
14,PIPE_BUF
15,ENABLE_FEATURE_HTTPD_ERROR_PAGES
16,BB_MMU
17,ENABLE_LOCALE_SUPPORT
