parameter,name
0,ENABLE_HUSH_CASE
1,BB_VER
2,ENABLE_HUSH_LOCAL
3,ENABLE_FEATURE_EDITING
4,DEBUG_EXPAND
5,LEAK_HUNTING
6,HUSH_DEBUG
7,BB_MMU
8,NUM_APPLETS
9,ENABLE_PRINTF
10,ENABLE_FEATURE_EDITING_SAVE_ON_EXIT
11,ENABLE_HUSH_IF
12,debug_printf_subst
13,debug_printf
14,ENABLE_HUSH_FAST
15,ENABLE_HUSH_JOB
16,HAS_KEYWORDS
17,ENABLE_MSH
18,MAX_HISTORY
19,ENABLE_HUSH_HELP
20,DEBUG_GLOB
21,debug_printf_exec
22,M_TRIM_THRESHOLD
23,debug_printf_env
24,ENABLE_HUSH_INTERACTIVE
25,ENABLE_HUSH_LOOPS
26,debug_printf_parse
27,ENABLE_HUSH_BRACE_EXPANSION
28,debug_printf_expand
29,ENABLE_HUSH_BASH_COMPAT
30,debug_printf_list
31,ENABLE_HUSH_TICK
32,PIPE_BUF
33,debug_printf_clean
34,ENABLE_HUSH_SAVEHISTORY
35,debug_print_tree
36,ENABLE_HUSH_RANDOM_SUPPORT
37,debug_printf_varexp
38,BUILD_AS_NOMMU
39,debug_printf_glob
40,DEBUG_JOBS
41,ENABLE_FEATURE_CLEAN_UP
42,ENABLE_HUSH_EXPORT_N
43,ENABLE_HUSH_MODE_X
44,ENABLE_FEATURE_SH_STANDALONE
45,ENABLE_HUSH_FUNCTIONS
46,ENABLE_HUSH_DOLLAR_OPS
47,debug_printf_jobs
48,ENABLE_SH_MATH_SUPPORT
