parameter,name
0,HAVE_SYS_SYSTEMINFO_H
1,HAVE_SYSINFO
2,OS2
3,GNUPMDRV
4,CRIPPLED_SELECT
5,XK_KP_Home
6,SIGTSTP
7,__EMX__
8,ISC22
9,HAVE_CONFIG_H
10,HAVE_SYS_BSDTYPES_H
11,NOEXPORT
12,EXPORT_SELECTION
13,HAVE_SYS_SELECT_H
14,lint
15,XK_KP_Delete
16,XK_KP_Page_Down
17,DEFAULT_X11
18,XK_KP_Right
19,XK_KP_Begin
20,XK_KP_Insert
21,__DECC
22,VMS
23,HAVE_ON_EXIT
24,XK_KP_Down
25,FD_SET
26,USE_MOUSE
27,XK_KP_Page_Up
28,XK_KP_Up
29,NO_ATEXIT
30,USE_NONBLOCKING_STDOUT
31,XK_Sys_Req
32,XK_KP_Left
33,OSK
34,XK_KP_End
35,MAXHOSTNAMELEN
