parameter,name
0,HAVE_LIBREADLINE
1,HAVE_SETVBUF
2,NOCWDRC
3,OS2
4,LINUXVGA
5,_AIX
6,_Macintosh
7,WXWIDGETS
8,__EMX__
9,HAVE_ATEXIT
10,SIGPIPE
11,MSDOS
12,SCO
13,ATARI
14,DOSX286
15,X11
16,__TURBOC__
17,DOS386
18,_Windows
19,__MSC__
20,__PUREC__
21,WIN32
22,MALLOCDEBUG
23,__DJGPP__
24,lint
25,APOLLO
26,AMIGA_SC_6_1
27,SIGINT
28,MTOS
29,OSK
30,HAVE_ISNAN
31,DJGPP
32,GNUPLOT_HISTORY
33,GNUPLOT_HISTORY_FILE
34,VMS
35,HAVE_ON_EXIT
36,USE_MOUSE
37,HAVE_SYS_UTSNAME_H
38,OS2_IPC
39,__GNUC__
40,__linux__
41,__WIN32__
