parameter,name
0,__cplusplus
1,PNG_READ_STRIP_ALPHA_SUPPORTED
2,PNG_NO_CONFIG_H
3,PNG_READ_GRAY_TO_RGB_SUPPORTED
4,PNG_READ_RGB_TO_GRAY_SUPPORTED
5,PNG_WRITE_SUPPORTED
6,PNG_WARNINGS_SUPPORTED
7,PNG_READ_EXPAND_SUPPORTED
8,HAVE_CONFIG_H
9,PNG_READ_EXPAND_16_SUPPORTED
10,_MSC_VER
11,PNG_READ_16_TO_8_SUPPORTED
12,PNG_READ_16BIT_SUPPORTED
13,PNG_WRITE_zTXt_SUPPORTED
14,PNG_READ_GAMMA_SUPPORTED
15,PNG_TIME_RFC1123_SUPPORTED
16,PNG_READ_ACCURATE_SCALE_SUPPORTED
17,PNG_READ_TRANSFORMS_SUPPORTED
18,DO_16BIT
19,UNUSED
20,PNG_MAX_GAMMA_8
21,PNG_READ_16_TO_8_ACCURATE_SCALE_SUPPORTED
22,HAVE_FEENABLEEXCEPT
23,PNG_READ_SUPPORTED
24,PNG_LIBPNG_VER
25,THIS_IS_THE_PROFORMA
26,PNG_FLOATING_ARITHMETIC_SUPPORTED
27,PNG_READ_BACKGROUND_SUPPORTED
28,PNG_READ_zTXt_SUPPORTED
29,PNG_WRITE_16BIT_SUPPORTED
30,PNG_TEXT_SUPPORTED
31,PNG_READ_SCALE_16_TO_8_SUPPORTED
32,PNG_USER_TRANSFORM_INFO_SUPPORTED
33,PNG_READ_cHRM_SUPPORTED
34,PNG_FLOATING_POINT_SUPPORTED
35,PNG_READ_INTERLACING_SUPPORTED
36,__GNUC__
37,PNG_READ_ALPHA_MODE_SUPPORTED
38,PNG_FREESTANDING_TESTS
