parameter,name
0,PNG_READ_UNKNOWN_CHUNKS_SUPPORTED
1,PNG_CONSOLE_IO_SUPPORTED
2,PNG_READ_sRGB_SUPPORTED
3,PNG_USE_READ_MACROS
4,PNG_READ_GRAY_TO_RGB_SUPPORTED
5,PNG_USER_CHUNK_MALLOC_MAX
6,PNG_READ_hIST_SUPPORTED
7,PNG_SEQUENTIAL_READ_SUPPORTED
8,PNG_READ_sCAL_SUPPORTED
9,PNG_READ_iCCP_SUPPORTED
10,PNG_READ_tIME_SUPPORTED
11,PNG_READ_EXPAND_SUPPORTED
12,PNG_USER_TRANSFORM_PTR_SUPPORTED
13,PNG_READ_USER_TRANSFORM_SUPPORTED
14,PNG_READ_pHYs_SUPPORTED
15,PNG_IO_STATE_SUPPORTED
16,PNG_READ_oFFs_SUPPORTED
17,PNG_USER_LIMITS_SUPPORTED
18,PNG_SET_CHUNK_MALLOC_LIMIT_SUPPORTED
19,PNG_HANDLE_AS_UNKNOWN_SUPPORTED
20,PNG_READ_PACK_SUPPORTED
21,PNG_READ_GAMMA_SUPPORTED
22,PNG_READ_PACKSWAP_SUPPORTED
23,PNG_READ_tRNS_SUPPORTED
24,PNG_READ_bKGD_SUPPORTED
25,PNG_READ_sPLT_SUPPORTED
26,PNG_READ_tEXt_SUPPORTED
27,PNG_STDIO_SUPPORTED
28,PNG_USE_ABS
29,PNG_READ_FILLER_SUPPORTED
30,PNG_READ_gAMA_SUPPORTED
31,PNG_READ_SUPPORTED
32,PNG_READ_sBIT_SUPPORTED
33,PNG_ALIGNED_MEMORY_SUPPORTED
34,PNG_READ_OPT_PLTE_SUPPORTED
35,PNG_READ_USER_CHUNKS_SUPPORTED
36,PNG_POINTER_INDEXING_SUPPORTED
37,PNG_READ_zTXt_SUPPORTED
38,PNG_READ_iTXt_SUPPORTED
39,PNG_MAX_MALLOC_64K
40,PNG_READ_pCAL_SUPPORTED
41,PNG_FIXED_POINT_SUPPORTED
42,PNG_READ_cHRM_SUPPORTED
43,PNG_iTXt_SUPPORTED
44,PNG_FLOATING_POINT_SUPPORTED
45,PNG_READ_INTERLACING_SUPPORTED
46,PNG_MNG_FEATURES_SUPPORTED
