parameter,name
0,PNG_READ_UNKNOWN_CHUNKS_SUPPORTED
1,PNG_tIME_SUPPORTED
2,MAXSEG_64K
3,PNG_WRITE_CUSTOMIZE_ZTXT_COMPRESSION_SUPPORTED
4,PNG_HANDLE_CHUNK_IF_SAFE
5,PNG_WRITE_SUPPORTED
6,PNG_WRITE_UNKNOWN_CHUNKS_SUPPORTED
7,PNG_sCAL_SUPPORTED
8,PNG_gAMA_SUPPORTED
9,PNGTEST_TIMING
10,SINGLE_ROWBUF_ALLOC
11,__TURBOC__
12,PNG_READ_USER_TRANSFORM_SUPPORTED
13,PNG_bKGD_SUPPORTED
14,PNG_IO_STATE_SUPPORTED
15,png_jmpbuf
16,PNG_tRNS_SUPPORTED
17,PNG_WRITE_zTXt_SUPPORTED
18,PNG_ZBUF_SIZE
19,PNG_TIME_RFC1123_SUPPORTED
20,PNG_pHYs_SUPPORTED
21,PNG_STDIO_SUPPORTED
22,PNG_WRITE_iTXt_SUPPORTED
23,PNG_SAVE_UNKNOWN_CHUNKS_SUPPORTED
24,PNG_WRITE_INTERLACING_SUPPORTED
25,PNG_EASY_ACCESS_SUPPORTED
26,PNG_oFFs_SUPPORTED
27,PNG_READ_SUPPORTED
28,PNG_WRITE_USER_TRANSFORM_SUPPORTED
29,PNG_hIST_SUPPORTED
30,PNG_sRGB_SUPPORTED
31,PNG_WRITE_FLUSH_SUPPORTED
32,PNG_LIBPNG_VER
33,PNG_READ_USER_CHUNKS_SUPPORTED
34,PNG_USER_MEM_SUPPORTED
35,PNG_pCAL_SUPPORTED
36,RISCOS
37,PNG_SETJMP_SUPPORTED
38,PNG_MAX_MALLOC_64K
39,PNG_TEXT_SUPPORTED
40,PNG_HANDLE_CHUNK_ALWAYS
41,PNG_sBIT_SUPPORTED
42,PNG_FIXED_POINT_SUPPORTED
43,PNG_DEBUG
44,PNG_FLOATING_POINT_SUPPORTED
45,PNG_READ_INTERLACING_SUPPORTED
46,PNG_cHRM_SUPPORTED
47,PNG_SET_UNKNOWN_CHUNKS_SUPPORTED
48,PNG_iCCP_SUPPORTED
