parameter,name
0,PNG_WRITE_FILLER_SUPPORTED
1,PNG_READ_STRIP_ALPHA_SUPPORTED
2,PNG_WRITE_BGR_SUPPORTED
3,PNG_WRITE_SWAP_ALPHA_SUPPORTED
4,PNG_LEGACY_SUPPORTED
5,PNG_WRITE_SWAP_SUPPORTED
6,PNG_READ_SWAP_SUPPORTED
7,PNG_WRITE_INVERT_SUPPORTED
8,PNG_USELESS_TESTS_SUPPORTED
9,PNG_READ_INVERT_SUPPORTED
10,PNG_USER_TRANSFORM_PTR_SUPPORTED
11,PNG_READ_USER_TRANSFORM_SUPPORTED
12,PNG_READ_PACK_SUPPORTED
13,PNG_READ_SWAP_ALPHA_SUPPORTED
14,PNG_READ_PACKSWAP_SUPPORTED
15,PNG_READ_BGR_SUPPORTED
16,PNG_READ_SHIFT_SUPPORTED
17,PNG_WRITE_PACK_SUPPORTED
18,PNG_READ_FILLER_SUPPORTED
19,PNG_WRITE_INVERT_ALPHA_SUPPORTED
20,PNG_WRITE_SHIFT_SUPPORTED
21,PNG_WRITE_INTERLACING_SUPPORTED
22,PNG_WRITE_USER_TRANSFORM_SUPPORTED
23,PNG_WRITE_PACKSWAP_SUPPORTED
24,PNG_READ_INTERLACING_SUPPORTED
25,PNG_READ_INVERT_ALPHA_SUPPORTED
