parameter,name
0,__BORLANDC__
1,FEAT_SCROLLBIND
2,WIN3264
3,OS2
4,FEAT_VISUAL
5,FEAT_VERTSPLIT
6,FEAT_GUI
7,FEAT_KEYMAP
8,HAS_SWAP_EXISTS_ACTION
9,SHORT_FNAME
10,EBCDIC
11,MSDOS
12,FEAT_MBYTE
13,AMIGA
14,WIN32
15,FEAT_CMDHIST
16,FEAT_VIRTUALEDIT
17,_WIN64
18,FEAT_FOLDING
19,FEAT_SYN_HL
20,FEAT_FKMAP
21,FEAT_SIGNS
22,FEAT_QUICKFIX
23,MSWIN
24,VIMINFO_FILE2
25,FEAT_WINDOWS
26,USE_LONG_FNAME
27,FEAT_DIFF
28,USE_GUI
29,USE_FNAME_CASE
30,FEAT_CON_DIALOG
31,FEAT_MULTI_LANG
32,FEAT_CLIENTSERVER
33,USE_SYSTEM
34,FEAT_SPELL
35,FEAT_MOUSE
36,FEAT_RIGHTLEFT
37,FEAT_NETBEANS_INTG
38,FEAT_CMDL_COMPL
39,FEAT_VIMINFO
40,VMS
41,FEAT_GUI_MSWIN
42,FEAT_GUI_W32
43,RISCOS
44,FEAT_GUI_DIALOG
45,FEAT_LISTCMDS
46,USE_ON_FLY_SCROLL
47,FEAT_BROWSE
48,PROTO
49,FEAT_TITLE
50,FEAT_AUTOCMD
51,UNIX
52,ARCHIE
53,FEAT_EX_EXTRA
54,HAVE_FCHOWN
55,FEAT_SUN_WORKSHOP
56,FEAT_EVAL
57,FEAT_ARABIC
58,FEAT_INS_EXPAND
59,FEAT_SIGN_ICONS
60,EXITFREE
61,WIN16
62,HAVE_SANDBOX
