parameter,name
0,ESIX
1,OS2
2,SIGUSR2
3,SEEK_END
4,ECHILD
5,EBCDIC
6,JSBTERM_MOUSE_NONADVANCED
7,HAVE_SELECT
8,SIGQUIT
9,FEAT_MOUSE_TTY
10,SIGILL
11,FEAT_GUI_GTK
12,USE_DLOPEN
13,FEAT_XCLIPBOARD
14,HAVE_SETJMP_H
15,HAVE_TERMIOS_H
16,FEAT_CLIENTSERVER
17,HAVE_FCHDIR
18,FEAT_MOUSE_PTERM
19,FEAT_GUI_MAC
20,SIGWINCH
21,SIGWINDOW
22,HAVE_SOLARIS_ACL
23,HAVE_SYS_RESOURCE_H
24,SIGABRT
25,SIGEMT
26,FEAT_GUI_PHOTON
27,HAVE_SIGACTION
28,__MINT__
29,FEAT_AUTOCMD
30,RTLD_LOCAL
31,FEAT_MOUSE_GPM
32,HAVE_SYS_UTSNAME_H
33,TIOCGWINSZ
34,HAVE_SIGVEC
35,HAVE_SYS_ACCESS_H
36,FEAT_GUI
37,VIM_BACKTICK
38,ECHOE
39,FEAT_SNIFF
40,M_UNIX
41,SIGPIPE
42,SIGHASARG
43,SCO
44,FEAT_MOUSE_JSB
45,HAVE_NANOSLEEP
46,SIGSEGV
47,FEAT_MOUSE_NET
48,HAVE_TGETENT
49,SIGPWR
50,HAVE_POSIX_ACL
51,MACOS_X
52,FEAT_XFONTSET
53,__NeXT__
54,SIGINT
55,USE_SYSTEM
56,HAVE_SIGALTSTACK
57,SYS_SIGLIST_DECLARED
58,HAVE_ACL
59,SIGBUS
60,HAVE_USLEEP
61,HAVE_GETRLIMIT
62,HAVE_FCNTL_H
63,PROTO
64,SIGSYS
65,SIGVTALRM
66,HAVE_SETSID
67,FEAT_TITLE
68,HAVE_SYS_SYSTEMINFO_H
69,SIGTSTP
70,HAVE_UNION_WAIT
71,USE_GETCWD
72,HAVE_RENAME
73,SIG_ERR
74,SIGXFSZ
75,HAVE_TOTAL_MEM
76,XtSpecificationRelease
77,HAVE_SYS_ACL_H
78,_POSIX_SOURCE
79,FEAT_X11
80,VMS
81,__BEOS__
82,FEAT_CLIPBOARD
83,TIOCSETN
84,SIGALRM
85,SIGSTKSZ
86,_REENTRANT
87,FEAT_MOUSE_DEC
88,SEEK_SET
89,HAVE_GETPWUID
90,ICANON
91,HAVE_GETTIMEOFDAY
92,HAVE_SIGSTACK
93,__QNX__
94,__EMX__
95,IEXTEN
96,SIGTRAP
97,FEAT_MBYTE
98,HAVE_AIX_ACL
99,TIOCSCTTY
100,SET_SIG_ALARM
101,SIGFPE
102,__CYGWIN32__
103,TIOCGSIZE
104,SIGUSR1
105,HAVE_CHECK_STACK_GROWTH
106,HAVE_PWD_H
107,HAVE_TERMIO_H
108,FEAT_MOUSE_XTERM
109,HAVE_STRERROR
110,FEAT_GUI_BEOS
111,ONLCR
112,HAVE_SETENV
113,NO_EXPANDPATH
114,FEAT_EVAL
115,SIGPROF
116,HAVE_SHL_LOAD
117,SIGTERM
118,SIGXCPU
119,HAVE_SYS_TIME_H
120,RLIM_INFINITY
121,SIGHUP
122,FEAT_GUI_X11
